aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
42,45,100,40,12,18,0.005,0.225001,0.03205141,0.033333667,0.0268,0.05335814,21.49299536,131.4835677,89.91972462,7.16850364,0.497903127,563.0965292,289.4790605
15.27272727,15,33.33333333,51.42857143,10.90909091,36,0.138844339,0.087,0.01,0.385715286,0.021575758,0.029900532,20.84844904,118.8339116,99.80032961,6.286659563,0.488477765,491.9081018,239.2206227
21,25.71428571,27.27272727,90,10,12,0.031818788,0.025714886,0.019160839,0.675001,0.028466667,0.039109635,20.10894251,102.275613,152.1254966,7.784490545,0.864434107,557.1920314,251.6460743
56,30,60,32.72727273,17.14285714,14.4,0.050909636,0.050000667,0.01,0.126981818,0.007,0.057544186,21.40999327,78.59183505,128.1820364,6.469398574,0.597517853,559.6706356,244.7988698
21,15,50,40,13.33333333,48,0.190910455,0.087,0.016025769,0.050000375,0.007,0.018604806,18.9846135,137.1071567,103.3518257,6.875245827,0.277762249,519.3335222,343.8794261
24,60,37.5,32.72727273,20,20.57142857,0.009917851,0.6000015,0.01,0.034181818,0.007,0.099893688,19.15432129,109.159158,91.37916469,7.438074502,0.32749998,559.6485174,265.4995706
28,25.71428571,37.5,60,30,16,0.063637045,0.385716286,0.036057885,0.1500005,0.025000167,0.027825581,18.43021458,93.64201592,107.7698359,7.390948063,0.669793496,498.0341736,279.2212471
15.27272727,25.71428571,42.85714286,36,10.90909091,12,0.208266281,0.025714886,0.02060454,0.064286143,0.027709091,0.039109635,26.0575725,137.3870562,92.9172587,7.035750913,0.603969613,530.7211645,249.1526742
33.6,25.71428571,30,36,15,14.4,0.030546,0.385716286,0.01,0.012,0.007944444,0.076116279,24.02269992,100.4772868,83.50180748,8.758742266,0.368749238,455.3729321,278.8391328
33.6,16.36363636,42.85714286,60,12,16,0.213819273,0.081819182,0.029435016,0.107143286,0.036,0.017,19.36071252,100.2673314,85.41734785,7.242044879,0.46563377,524.7694182,309.3723919
18.66666667,36,25,30,30,20.57142857,0.169698333,0.016364182,0.013094406,0.273,0.007,0.068940199,20.27833894,96.61698977,113.7530103,6.894185991,0.450353292,599.7168118,272.7476017
14,16.36363636,30,120,17.14285714,18,0.027878788,0.058442416,0.012,0.0600003,0.031714286,0.05335814,24.87402077,100.6230685,86.50915758,7.055358038,0.388260911,508.3390466,235.1777896
