1,1,1,1,1,1,1,1,1,1,1,1,avgLMP1,avgLMP2,avgLMP3,avgLMP4,avgLMP5,avgLMP6,avgMW1,avgMW2,avgMW3,avgMW4,avgMW5,avgMW6
,,,,,,,,,,,,15.55959153,25.04421707,22.92302556,19.89796568,23.38087093,17.96852361,100.1662486,99.44807624,51.96239188,0.551972791,462.3547035,259.9866155
,,,,,,,,,,,,16.41321952,26.31362674,24.17563842,24.59510647,16.79490768,17.96967043,207.2448853,83.32748537,56.81637522,0.430314708,604.6662959,210.1535613
,,,,,,,,,,,,15.47980169,23.93801684,19.31473394,22.37911645,18.22732409,17.78539455,120.2588677,87.67957626,110.9897324,0.483495244,589.950828,196.8276363
,,,,,,,,,,,,17.31905556,30.83149789,20.62652008,37.74570155,23.16417012,17.10375327,90.16344881,97.41249563,51.95490304,0.580980505,608.3747234,260.9696953
,,,,,,,,,,,,16.38119021,21.16057912,28.02102659,22.42515654,21.96805672,18.01538668,147.8924858,88.34497851,57.01860818,1.031340096,548.3607304,307.137981
,,,,,,,,,,,,18.34333962,20.22075574,23.21003793,30.95007358,18.18413446,20.57188231,112.2626536,146.9694827,43.4850459,1.330252889,547.9416917,247.296638
,,,,,,,,,,,,16.32780205,26.14479949,22.43690698,20.01040899,18.24082186,23.26050452,99.57611266,86.90541814,58.88797097,0.578629096,552.2354498,258.4461516
,,,,,,,,,,,,21.91387362,27.22008538,23.5204972,18.7932279,17.83792542,21.27953307,147.5923302,109.6255188,52.33234605,0.46626791,876.0524678,212.7555473
,,,,,,,,,,,,14.94597213,24.13589057,22.17866391,18.98534152,19.73808087,23.79973581,98.00957504,154.9143468,59.27115,0.290701521,472.201167,282.8630355
,,,,,,,,,,,,13.12627702,20.75147788,21.32682207,22.20148925,17.63254807,21.88076599,115.2617149,135.277316,57.40304437,0.36244416,478.8370044,222.1102936
,,,,,,,,,,,,16.27925752,23.33531477,22.00516288,18.6714859,17.57877872,17.50411061,94.75951978,106.2916625,60.24279805,0.239199246,514.9905115,208.8450054
,,,,,,,,,,,,15.40286461,20.38110089,26.34033374,20.28287456,20.93230054,16.92764763,85.18475678,92.63166609,56.35007613,0.391577163,589.1348251,177.729439
,,,,,,,,,,,,14.63784917,22.03297197,21.6627505,20.28217362,22.84554246,29.46836851,95.50517955,99.99885875,54.80124062,0.564969155,588.1959617,290.0961939
,,,,,,,,,,,,17.2323033,25.1936442,20.39303024,20.39183954,18.29632363,16.82106669,90.41029331,71.56905902,58.85217349,0.626353618,709.1425701,206.8119279
,,,,,,,,,,,,14.58046619,19.76961672,20.88180196,23.30316851,19.59780987,17.9835057,96.87723705,115.4157345,54.22364639,0.453482119,429.8788211,207.7341582
,,,,,,,,,,,,15.66935328,20.1326812,22.15999963,19.29501076,18.33163205,20.01338833,93.41385558,90.483581,63.74399503,0.630040412,547.216098,222.0926844
,,,,,,,,,,,,31.75463125,21.53577129,20.36618994,18.90010098,20.79544912,24.93019427,110.3557139,94.48255097,59.4770972,0.455997194,739.0207052,224.5926763
,,,,,,,,,,,,16.53424843,22.62681156,22.39632115,22.73930469,20.99164921,17.36404731,122.8884654,87.83940146,64.62305812,0.445672123,536.7977076,204.4858781
,,,,,,,,,,,,19.63113422,23.45118309,20.83035225,19.84297634,21.73268298,18.57679633,93.83570988,100.0351818,48.93716938,0.543182832,503.9589198,250.2875869
,,,,,,,,,,,,18.93509495,20.46300299,20.99850584,18.78263863,17.08853934,18.41192847,106.607912,93.0380634,70.62442906,0.57651359,679.9699194,233.0134453
,,,,,,,,,,,,17.334436,19.27371386,21.19752257,24.49290703,17.67182932,18.00717127,124.4277883,106.9061422,68.94905374,0.365188854,454.5780916,283.7194408
,,,,,,,,,,,,15.97574892,22.97983441,23.33653376,25.34680653,15.97836533,17.42359767,89.50138127,92.12706753,66.96502383,0.315016751,773.4915424,202.9984711
,,,,,,,,,,,,15.69593361,19.15196428,25.22854151,25.0454264,15.16827997,22.60976388,98.80179604,95.7783345,60.31272753,0.397180401,462.6211915,231.1280968
